Reaction ID,Flux 1,Flux 2,Difference,Reaction,Reaction Name
AKGMALtm_ent,597.5675272,919.5008383,321.9333111,AKGMALtm_ent: akg[m]_ent + mal_L[c]_ent <=> akg[c]_ent + mal_L[m]_ent,alpha-ketoglutarate/malate transporter
ALALPATtc_ent,0,162.3620043,162.3620043,ALALPATtc_ent: ala_L_shared + h_shared --> ala_L[c]_ent + h[c]_ent,transport of L-Alanine by the apical PAT2 or PAT1 amino acid transporters in kidney and intestine
ASPGLUm_ent,632.7385626,829.0016766,196.2631139,ASPGLUm_ent: asp_L[m]_ent + glu_L[c]_ent + h[c]_ent <=> asp_L[c]_ent + glu_L[m]_ent + h[m]_ent,aspartate-glutamate mitochondrial shuttle
ASPTA_ent,594.2925062,829.0016766,234.7091704,ASPTA_ent: akg[c]_ent + asp_L[c]_ent <=> glu_L[c]_ent + oaa[c]_ent,aspartate transaminase
ASPTAm_ent,-632.7385626,-829.0016766,196.2631139,ASPTAm_ent: akg[m]_ent + asp_L[m]_ent <=> glu_L[m]_ent + oaa[m]_ent,aspartate transaminase
G3PD1_ent,626.2371827,936.2405964,310.0034136,G3PD1_ent: glyc3p[c]_ent + nad[c]_ent <=> dhap[c]_ent + h[c]_ent + nadh[c]_ent,glycerol-3-phosphate dehydrogenase (NAD)
H2Otm_ent,-1000,-879.4423509,120.5576491,H2Otm_ent: h2o[c]_ent <=> h2o[m]_ent,"H2O transport, mitochondrial"
MDH_ent,-626.2371827,-829.0016766,202.7644938,MDH_ent: mal_L[c]_ent + nad[c]_ent <=> h[c]_ent + nadh[c]_ent + oaa[c]_ent,malate dehydrogenase
MDHm_ent,664.6832392,819.0016766,154.3184374,MDHm_ent: mal_L[m]_ent + nad[m]_ent <=> h[m]_ent + nadh[m]_ent + oaa[m]_ent,"malate dehydrogenase, mitochondrial"
NADH2_u10m_ent,775.0739722,1000,224.9260278,NADH2_u10m_ent: 5.0 h[m]_ent + nadh[m]_ent + q10[m]_ent --> 4.0 h[c]_ent + nad[m]_ent + q10h2[m]_ent,"NADH dehydrogenase, mitochondrial"
PIt2m_ent,986.724979,809.0016766,177.7233024,PIt2m_ent: h[c]_ent + pi[c]_ent <=> h[m]_ent + pi[m]_ent,"phosphate transporter, mitochondrial"
r0205_ent,-618.8165147,-936.2405964,317.4240817,r0205_ent: glyc3p[c]_ent + q10[m]_ent <=> dhap[c]_ent + q10h2[m]_ent,
ATPM_ent,1000,800,200,ATPM_ent: atp[c]_ent + h2o[c]_ent --> adp[c]_ent + h[c]_ent + pi[c]_ent,ATP maintenance requirement
